Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 23 3",1,121,350,150,23,3,100,24,28,100,1,16
3,move,"move 25 27",2,126,350,150,23,3,100,25,27,100,1,16
4,move,"move 1 17",3,131,350,150,23,3,100,25,27,100,1,17
5,dig,"dig 22 2",1,138,350,150,23,3,100,25,27,100,1,17
6,dig,"dig 26 27",2,145,350,150,23,3,100,25,27,100,1,17
7,move,"move 2 17",3,150,350,150,23,3,100,25,27,100,2,17
8,move,"move 24 3",1,155,350,150,24,3,100,25,27,100,2,17
9,nothing,"nothing "Player chose to do nothing"",2,155,350,150,24,3,100,25,27,100,2,17
10,nothing,"nothing "Player chose to do nothing"",3,155,350,150,24,3,100,25,27,100,2,17
11,move,"move 25 3",1,160,350,150,25,3,100,25,27,100,2,17
12,move,"move 24 27",2,165,350,150,25,3,100,24,27,100,2,17
13,move,"move 1 17",3,170,350,150,25,3,100,24,27,100,1,17
14,move,"move 24 3",1,175,350,150,24,3,100,24,27,100,1,17
15,move,"move 25 28",2,180,350,150,24,3,100,25,28,100,1,17
16,nothing,"nothing "Player chose to do nothing"",3,180,350,150,24,3,100,25,28,100,1,17
17,move,"move 25 4",1,185,350,150,25,4,100,25,28,100,1,17
18,move,"move 24 28",2,190,350,150,25,4,100,24,28,100,1,17
19,nothing,"nothing "Player chose to do nothing"",3,190,350,150,25,4,100,24,28,100,1,17
20,move,"move 24 3",1,195,350,150,24,3,100,24,28,100,1,17
21,move,"move 23 28",2,200,350,150,24,3,100,23,28,100,1,17
22,dig,"dig 2 18",3,207,350,150,24,3,100,23,28,100,1,17
23,dig,"dig 23 2",1,214,350,150,24,3,100,23,28,100,1,17
24,move,"move 23 27",2,219,350,150,24,3,100,23,27,100,1,17
25,move,"move 1 16",3,224,350,150,24,3,100,23,27,100,1,16
