Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 25 5",1,121,350,150,25,5,100,24,28,100,1,16
3,move,"move 25 27",2,126,350,150,25,5,100,25,27,100,1,16
4,move,"move 1 15",3,131,350,150,25,5,100,25,27,100,1,15
5,dig,"dig 26 6",1,138,350,150,25,5,100,25,27,100,1,15
6,dig,"dig 26 26",2,145,350,150,25,5,100,25,27,100,1,15
7,dig,"dig 2 14",3,152,350,150,25,5,100,25,27,100,1,15
8,move,"move 26 6",1,157,350,150,26,6,100,25,27,100,1,15
9,move,"move 26 26",2,162,350,150,26,6,100,26,26,100,1,15
10,move,"move 2 14",3,167,350,150,26,6,100,26,26,100,2,14
11,dig,"dig 27 7",1,174,350,150,26,6,100,26,26,100,2,14
12,dig,"dig 26 25",2,181,350,150,26,6,100,26,26,100,2,14
13,dig,"dig 3 13",3,188,350,150,26,6,100,26,26,100,2,14
14,move,"move 27 7",1,193,350,150,27,7,100,26,26,100,2,14
15,move,"move 26 25",2,198,350,150,27,7,100,26,25,100,2,14
16,dig,"dig 2 13",3,205,350,150,27,7,100,26,25,100,2,14
17,dig,"dig 28 8",1,212,350,150,27,7,100,26,25,100,2,14
18,dig,"dig 26 24",2,219,350,150,27,7,100,26,25,100,2,14
19,move,"move 2 13",3,224,350,150,27,7,100,26,25,100,2,13
20,move,"move 28 8",1,229,350,150,28,8,100,26,25,100,2,13
21,move,"move 26 24",2,234,350,150,28,8,100,26,24,100,2,13
22,dig,"dig 3 12",3,241,350,150,28,8,100,26,24,100,2,13
23,move,"move 29 9",1,246,350,150,29,9,100,26,24,100,2,13
24,dig,"dig 26 23",2,253,350,150,29,9,100,26,24,100,2,13
25,move,"move 3 12",3,258,350,150,29,9,100,26,24,100,3,12
26,move,"move 29 10",1,263,350,150,29,10,100,26,24,100,3,12
27,move,"move 26 23",2,268,350,150,29,10,100,26,23,100,3,12
28,move,"move 4 11",3,273,350,150,29,10,100,26,23,100,4,11
29,move,"move 28 11",1,278,350,150,28,11,100,26,23,100,4,11
30,move,"move 26 22",2,283,350,150,28,11,100,26,22,100,4,11
31,move,"move 5 10",3,288,350,150,28,11,100,26,22,100,5,10
32,move,"move 27 12",1,293,350,150,27,12,100,26,22,100,5,10
33,banana,"banana 24 17",2,375,350,150,27,12,100,26,22,100,5,10
34,move,"move 6 11",3,380,350,150,27,12,100,26,22,100,6,11
35,dig,"dig 27 13",1,387,350,150,27,12,100,26,22,100,6,11
36,banana,"banana 23 17",2,448,350,150,27,12,100,26,22,100,6,11
37,move,"move 7 12",3,453,350,150,27,12,100,26,22,100,7,12
38,dig,"dig 26 13",1,460,350,150,27,12,100,26,22,100,7,12
39,move,"move 26 21",2,465,350,150,27,12,100,26,21,100,7,12
40,dig,"dig 8 12",3,472,350,150,27,12,100,26,21,100,7,12
41,move,"move 26 13",1,477,350,150,26,13,100,26,21,100,7,12
42,move,"move 26 20",2,482,350,150,26,13,100,26,20,100,7,12
43,move,"move 8 12",3,487,350,150,26,13,100,26,20,100,8,12
44,dig,"dig 25 14",1,494,350,150,26,13,100,26,20,100,8,12
45,dig,"dig 25 20",2,501,350,150,26,13,100,26,20,100,8,12
46,snowball,"snowball 13 12",3,518,350,150,26,13,100,26,20,100,8,12
47,move,"move 25 14",1,523,350,150,25,14,100,26,20,100,8,12
48,move,"move 25 20",2,528,350,150,25,14,100,25,20,100,8,12
49,dig,"dig 9 13",3,535,350,150,25,14,100,25,20,100,8,12
50,move,"move 24 15",1,540,350,150,24,15,100,25,20,100,8,12
51,dig,"dig 24 20",2,547,350,150,24,15,100,25,20,100,8,12
52,snowball,"snowball 13 13",3,564,350,150,24,15,100,25,20,100,8,12
53,move,"move 23 16",1,569,350,150,23,16,100,25,20,100,8,12
54,move,"move 24 20",2,574,350,150,23,16,100,24,20,100,8,12
55,move,"move 9 13",3,579,350,150,23,16,100,24,20,100,9,13
56,move,"move 22 17",1,584,350,150,22,17,100,24,20,100,9,13
57,move,"move 23 20",2,587,342,142,22,17,100,23,20,100,9,13
58,snowball,"snowball 13 13",3,601,334,134,22,17,100,23,20,100,9,13
59,move,"move 21 18",1,606,334,134,21,18,100,23,20,100,9,13
60,banana,"banana 18 17",2,688,334,134,21,18,100,23,20,100,9,13
61,dig,"dig 10 13",3,695,334,134,21,18,100,23,20,100,9,13
62,move,"move 20 19",1,700,334,134,20,19,100,23,20,100,9,13
63,move,"move 22 19",2,702,326,126,20,19,100,22,19,100,9,13
64,move,"move 10 13",3,705,318,118,20,19,100,22,19,100,10,13
65,shoot,"shoot NW",1,705,318,118,20,19,100,22,19,100,10,13
66,move,"move 21 19",2,703,298,118,20,19,100,21,19,80,10,13
67,move,"move 11 14",3,705,290,110,20,19,100,21,19,80,11,14
68,shoot,"shoot NW",1,721,290,110,20,19,100,21,19,80,11,14
69,dig,"dig 20 18",2,722,270,110,20,19,100,21,19,60,11,14
70,shoot,"shoot E",3,738,270,110,20,19,100,21,19,60,11,14
71,shoot,"shoot NW",1,738,270,110,20,19,100,21,19,60,11,14
72,move,"move 20 18",2,731,250,110,20,19,100,21,19,40,11,14
73,shoot,"shoot E",3,744,242,102,20,19,100,21,19,40,11,14
74,shoot,"shoot NW",1,744,242,102,20,19,100,21,19,40,11,14
75,move,"move 20 18",2,747,234,102,20,19,100,20,18,32,11,14
76,shoot,"shoot E",3,763,234,102,20,19,100,20,18,32,11,14
77,shoot,"shoot NW",1,763,234,102,20,19,100,20,18,32,11,14
78,move,"move 19 18",2,760,226,102,20,19,100,20,18,24,11,14
79,invalid,"invalid",3,753,218,94,20,19,100,20,18,24,11,14
80,move,"move 0 -1",1,753,218,94,20,19,100,20,18,24,11,14
81,invalid,"invalid",3,747,210,94,20,19,100,20,18,16,11,14
82,invalid,"invalid",3,740,202,86,20,19,100,20,18,16,11,14
83,invalid,"invalid",3,733,194,86,20,19,92,20,18,16,11,14
