Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,8,28,100,8,4,100,31,16
2,move,"move 9 27",1,121,350,150,9,27,100,8,4,100,31,16
3,move,"move 9 5",2,126,350,150,9,27,100,9,5,100,31,16
4,move,"move 30 16",3,131,350,150,9,27,100,9,5,100,30,16
5,dig,"dig 10 26",1,138,350,150,9,27,100,9,5,100,30,16
6,dig,"dig 10 6",2,145,350,150,9,27,100,9,5,100,30,16
7,dig,"dig 29 16",3,152,350,150,9,27,100,9,5,100,30,16
8,move,"move 10 26",1,157,350,150,10,26,100,9,5,100,30,16
9,move,"move 10 6",2,162,350,150,10,26,100,10,6,100,30,16
10,move,"move 29 16",3,167,350,150,10,26,100,10,6,100,29,16
11,move,"move 11 25",1,172,350,150,11,25,100,10,6,100,29,16
12,move,"move 11 7",2,177,350,150,11,25,100,11,7,100,29,16
13,dig,"dig 28 16",3,184,350,150,11,25,100,11,7,100,29,16
14,move,"move 12 24",1,189,350,150,12,24,100,11,7,100,29,16
15,move,"move 12 8",2,194,350,150,12,24,100,12,8,100,29,16
16,move,"move 28 16",3,199,350,150,12,24,100,12,8,100,28,16
17,move,"move 13 23",1,204,350,150,13,23,100,12,8,100,28,16
18,dig,"dig 13 9",2,211,350,150,13,23,100,12,8,100,28,16
19,dig,"dig 27 16",3,218,350,150,13,23,100,12,8,100,28,16
20,move,"move 13 22",1,223,350,150,13,22,100,12,8,100,28,16
21,move,"move 13 9",2,228,350,150,13,22,100,13,9,100,28,16
22,move,"move 27 16",3,233,350,150,13,22,100,13,9,100,27,16
23,dig,"dig 13 21",1,240,350,150,13,22,100,13,9,100,27,16
24,dig,"dig 13 10",2,247,350,150,13,22,100,13,9,100,27,16
25,dig,"dig 26 16",3,254,350,150,13,22,100,13,9,100,27,16
26,move,"move 13 21",1,259,350,150,13,21,100,13,9,100,27,16
27,move,"move 13 10",2,264,350,150,13,21,100,13,10,100,27,16
28,move,"move 26 16",3,269,350,150,13,21,100,13,10,100,26,16
29,dig,"dig 13 20",1,276,350,150,13,21,100,13,10,100,26,16
30,move,"move 13 11",2,281,350,150,13,21,100,13,11,100,26,16
31,move,"move 25 16",3,286,350,150,13,21,100,13,11,100,25,16
32,move,"move 13 20",1,291,350,150,13,20,100,13,11,100,25,16
33,dig,"dig 13 12",2,292,330,150,13,20,100,13,11,80,25,16
34,move,"move 24 16",3,297,330,150,13,20,100,13,11,80,24,16
35,dig,"dig 13 19",1,304,330,150,13,20,100,13,11,80,24,16
36,move,"move 13 12",2,297,310,150,13,20,100,13,11,60,24,16
37,snowball,"snowball 21 12",3,314,310,150,13,20,100,13,11,60,24,16
38,move,"move 13 19",1,319,310,150,13,19,100,13,11,60,24,16
39,move,"move 13 12",2,317,290,150,13,19,100,13,12,40,24,16
40,move,"move 23 16",3,322,290,150,13,19,100,13,12,40,23,16
41,dig,"dig 13 18",1,329,290,150,13,19,100,13,12,40,23,16
42,move,"move 13 13",2,329,290,150,13,19,100,13,12,40,23,16
43,snowball,"snowball 21 19",3,346,290,150,13,19,100,13,12,40,23,16
44,move,"move 13 18",1,351,290,150,13,18,100,13,12,40,23,16
45,banana,"banana 8 12",2,447,290,150,13,18,100,13,12,40,23,16
46,snowball,"snowball 21 13",3,464,290,150,13,18,100,13,12,40,23,16
47,dig,"dig 13 17",1,471,290,150,13,18,100,13,12,40,23,16
48,banana,"banana 8 12",2,471,290,150,13,18,100,13,12,40,23,16
49,move,"move 22 16",3,476,290,150,13,18,100,13,12,40,22,16
50,move,"move 13 17",1,481,290,150,13,17,100,13,12,40,22,16
51,banana,"banana 9 13",2,535,290,150,13,17,100,13,12,40,22,16
52,dig,"dig 21 16",3,542,290,150,13,17,100,13,12,40,22,16
53,move,"move 13 16",1,551,300,160,13,16,100,13,12,40,22,16
54,banana,"banana 10 13",2,598,300,160,13,16,100,13,12,40,22,16
